Movie Name,Description,Release Date,IMDB Rating
Dhurandhar,"Jaskirat Singh Rangi erases his identity and leaves his family to live as a 'ghost' in Pakistan. He operates as a spy, knowing he will die at the hands of terrorists with no one to claim his body.",2025-01-15,9.4
Dhurandhar: The Revenge,"The protagonist continues his deep-cover mission, accepting a nameless, lonely death to ensure the safety of India, proving that the greatest sacrifice is one that the world never sees.",2026-03-19,9.6
16 December,"A group of Indian intelligence officers use high-tech equipment and old-school grit to track down a nuclear bomb hidden in New Delhi by terrorists seeking to avenge the 1971 war defeat.",2002-03-22,7.1
Sardar Udham,"A slow-burn, gritty biopic of Udham Singh, who traveled across continents and lived in the shadows for years to assassinate the man responsible for the Jallianwala Bagh massacre.",2021-10-16,8.4
Airlift,"Based on true events, a wealthy businessman in Kuwait risks his life, his family, and his fortune to lead the massive evacuation of over 170,000 stranded Indians during the Gulf War.",2016-01-22,7.9
Swades,"A NASA scientist returns to his native village in India and decides to leave his prestigious global career behind to bring electricity and progress to the grassroots level.",2004-12-17,8.2
A Wednesday,"A common man takes a silent but dangerous stand against the system, orchestrating a complex plan to eliminate terrorists himself for the nation's safety.",2008-09-05,8.1
Sarfarosh,"A medical student sacrifices his career and personal safety to join the IPS and dismantle a cross-border illegal arms smuggling network that threatens national security.",1999-04-30,8.5
Article 370,"A high-stakes political and intelligence thriller exploring the covert operations and strategic maneuvers that led to the historic decision of revoking Article 370 in Kashmir.",2024-02-23,8.0
Parmanu: The Story of Pokhran,"The true story of a team of Indian officers who worked in total secrecy to conduct nuclear tests while evading American satellite surveillance to make India a nuclear power.",2018-05-25,7.6
Madras Cafe,"An Indian intelligence officer is caught in a web of international conspiracy and civil war while trying to prevent the assassination of a former Prime Minister.",2013-08-23,7.7
The Legend of Bhagat Singh,"The definitive biography of Bhagat Singh, the young revolutionary who gave up his life and famously chose the gallows to spark a fire in the hearts of Indians for freedom.",2002-06-07,8.1
Uri: The Surgical Strike,"A detailed account of the Indian Army's strategic retaliatory strike against terrorist launchpads following the Uri attack, showcasing precision and military bravery.",2019-01-11,8.2
Shershaah,"The heroic biopic of Captain Vikram Batra, who sacrificed his life reclaiming Indian territory during the 1999 Kargil War, posthumously receiving the Param Vir Chakra.",2021-08-12,8.3
Border,"A classic depiction of the Battle of Longewala during the 1971 Indo-Pak war, where a small unit of soldiers held their ground against an entire tank regiment.",1997-06-13,7.9
Sam Bahadur,"The life story of Sam Manekshaw, India's first Field Marshal, highlighting his military genius and leadership during the 1971 war.",2023-12-01,7.8
1971,"A harrowing and raw story of six Indian Prisoners of War who attempt a daring escape from a Pakistani camp to return to their motherland.",2007-03-09,8.0
Major,"Based on the life of Major Sandeep Unnikrishnan, who sacrificed his life while saving hostages during the 26/11 Mumbai terror attacks.",2022-06-03,8.2
The Ghazi Attack,"A tribute to the Indian Navy personnel aboard the INS Rajput who fought a secret underwater battle to sink the Pakistani submarine PNS Ghazi during the 1971 war.",2017-02-17,7.5
Lakshya,"An aimless young man finds his purpose and becomes a dedicated army officer, leading a dangerous mission to capture a peak during the Kargil conflict.",2004-06-18,8.0
